JP Object Name,Global Object Name,Internal Name,LOD1,LOD1 Hash,LOD2,LOD2 Hash,LOD3,LOD3 Hash,LOD4,LOD4 Hash,Collision,Common (Animation, if existant),Effect,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Trait 8,Null Hashes indicate unfound files
シーベイジングセット,Sunbathing Set,ob_1000_0039,object/map_object/ob_1000_0039_l1.ice,7b\7773cd882e12f9832cfeb7ba56a556,object/map_object/ob_1000_0039_l2.ice,,object/map_object/ob_1000_0039_l3.ice,,object/map_object/ob_1000_0039_l4.ice,,object/map_object/ob_1000_0039_col.ice,ca\db20bd23415ef93e499003b7218c18,object/map_object/ob_1000_0039_com.ice,ba\e2af3639eb79555eaa074472caf3d4,object/map_object/ob_1000_0039_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
オリジナルトレイン,Original Train,ob_1000_0050,object/map_object/ob_1000_0050_l1.ice,0a\fa17558e466fd834b646ad6baa7390,object/map_object/ob_1000_0050_l2.ice,,object/map_object/ob_1000_0050_l3.ice,,object/map_object/ob_1000_0050_l4.ice,,object/map_object/ob_1000_0050_col.ice,94\43baffea210d8842e6845acb6e13e7,object/map_object/ob_1000_0050_com.ice,d5\1368eb7ff625350fdb6ca2aedc43c2,object/map_object/ob_1000_0050_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ウォールシェルフ,Wall Shelf,ob_1000_0074,object/map_object/ob_1000_0074_l1.ice,c2\479de00287384ca0f8dbe3dbd6d478,object/map_object/ob_1000_0074_l2.ice,,object/map_object/ob_1000_0074_l3.ice,,object/map_object/ob_1000_0074_l4.ice,,object/map_object/ob_1000_0074_col.ice,e5\afbd92cb09320383aec17bda9c2e7a,object/map_object/ob_1000_0074_com.ice,67\12f9d31dbb6e8c27d82048df91b3aa,object/map_object/ob_1000_0074_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
カガミモチ,Rice Cake Display,ob_1000_0082,object/map_object/ob_1000_0082_l1.ice,c9\80d1e4f5d925c038f39f4ce69b3a79,object/map_object/ob_1000_0082_l2.ice,,object/map_object/ob_1000_0082_l3.ice,,object/map_object/ob_1000_0082_l4.ice,,object/map_object/ob_1000_0082_col.ice,c5\c7f1b1c0e9dd7075427f65882c3bcb,object/map_object/ob_1000_0082_com.ice,5a\875a47ac12148d15c5e6dcab7e1f42,object/map_object/ob_1000_0082_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ハートフルギフト,Heartful Gift,ob_1000_0083,object/map_object/ob_1000_0083_l1.ice,e7\e6f1491cfff0607f0ba49bd9b5c619,object/map_object/ob_1000_0083_l2.ice,,object/map_object/ob_1000_0083_l3.ice,,object/map_object/ob_1000_0083_l4.ice,,object/map_object/ob_1000_0083_col.ice,2b\0576a3e568750ee42e0bd598e42d46,object/map_object/ob_1000_0083_com.ice,77\82dace79a23b71315a6b1ddc17a148,object/map_object/ob_1000_0083_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ピュアフルギフト,Pureful Gift,ob_1000_0084,object/map_object/ob_1000_0084_l1.ice,c4\6126d8f2d844583628ec38f862a1f1,object/map_object/ob_1000_0084_l2.ice,,object/map_object/ob_1000_0084_l3.ice,,object/map_object/ob_1000_0084_l4.ice,,object/map_object/ob_1000_0084_col.ice,66\9a181e159d918254c0bcfd2a053550,object/map_object/ob_1000_0084_com.ice,c9\8d494d51db62f491f77e8e8907ea4b,object/map_object/ob_1000_0084_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ヒナ・ドール,Ornamental Dolls,ob_1000_0085,object/map_object/ob_1000_0085_l1.ice,22\c6004fa52835d61e160aec1e84f917,object/map_object/ob_1000_0085_l2.ice,,object/map_object/ob_1000_0085_l3.ice,,object/map_object/ob_1000_0085_l4.ice,,object/map_object/ob_1000_0085_col.ice,16\fc8f1e810ab024712dec75c1b54f5e,object/map_object/ob_1000_0085_com.ice,18\7202fd4f353265a62801ce7562515b,object/map_object/ob_1000_0085_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
桜の盆栽,Cherry Blossom Bonsai,ob_1000_0086,object/map_object/ob_1000_0086_l1.ice,88\59bee0c54b3b07bdfa42a8b471a347,object/map_object/ob_1000_0086_l2.ice,,object/map_object/ob_1000_0086_l3.ice,,object/map_object/ob_1000_0086_l4.ice,,object/map_object/ob_1000_0086_col.ice,ba\91c1381f658c0d4b5c4b656a54b3aa,object/map_object/ob_1000_0086_com.ice,a8\d5c63d5cb04f28fa9adcbd0f0849ef,object/map_object/ob_1000_0086_eff.ice,,[Nature],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
イースターエッグオブジェ,Easter Egg Object,ob_1000_0087,object/map_object/ob_1000_0087_l1.ice,55\bac8778dadc8ff9bcfa41b9b55e589,object/map_object/ob_1000_0087_l2.ice,,object/map_object/ob_1000_0087_l3.ice,,object/map_object/ob_1000_0087_l4.ice,,object/map_object/ob_1000_0087_col.ice,d5\1d7848064e9c39fd983ccfaf1d3133,object/map_object/ob_1000_0087_com.ice,6a\2e55b3fb0bbd4a525d2336271b5017,object/map_object/ob_1000_0087_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
フライングカープ,Carp Streamers,ob_1000_0088,object/map_object/ob_1000_0088_l1.ice,38\a85f1130730523dac947ad90b45ee8,object/map_object/ob_1000_0088_l2.ice,,object/map_object/ob_1000_0088_l3.ice,,object/map_object/ob_1000_0088_l4.ice,,object/map_object/ob_1000_0088_col.ice,e2\2f7008e04a67433f0c3728fe86f589,object/map_object/ob_1000_0088_com.ice,d6\7e3fc70e3cfd50511dc076c7a6efcc,object/map_object/ob_1000_0088_eff.ice,,[Structure],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
テルテル・ラッピー,Rainy Day Rappy,ob_1000_0089,object/map_object/ob_1000_0089_l1.ice,79\47c1e44a5d75e0b8f48839228a9667,object/map_object/ob_1000_0089_l2.ice,,object/map_object/ob_1000_0089_l3.ice,,object/map_object/ob_1000_0089_l4.ice,,object/map_object/ob_1000_0089_col.ice,96\464a570185274bdbc8dae9fb31cee9,object/map_object/ob_1000_0089_com.ice,8b\98786812bce5fcdd3e1d03edd8044c,object/map_object/ob_1000_0089_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ウエディングケーキ,Bridal Confection,ob_1000_0090,object/map_object/ob_1000_0090_l1.ice,ae\b653e755b3d3cb392c72c0d7e191a7,object/map_object/ob_1000_0090_l2.ice,,object/map_object/ob_1000_0090_l3.ice,,object/map_object/ob_1000_0090_l4.ice,,object/map_object/ob_1000_0090_col.ice,f0\3e7ad7ff4812bb78d8acb3b6bbd655,object/map_object/ob_1000_0090_com.ice,b5\4d2888545f5f14885cece866307b9a,object/map_object/ob_1000_0090_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ササ・ツリー,Bamboo Tree,ob_1000_0091,object/map_object/ob_1000_0091_l1.ice,94\797d9c4ab55312a665f6d3fccf3c0e,object/map_object/ob_1000_0091_l2.ice,,object/map_object/ob_1000_0091_l3.ice,,object/map_object/ob_1000_0091_l4.ice,,object/map_object/ob_1000_0091_col.ice,78\e16248df4fb0d6a933fa839ffccd72,object/map_object/ob_1000_0091_com.ice,b4\bb64b1e8c4ae4dde1f542292748e2e,object/map_object/ob_1000_0091_eff.ice,,[Nature],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ハナ・ビー,Fireworks Diorama,ob_1000_0092,object/map_object/ob_1000_0092_l1.ice,0b\021266c0ae7e1cff65061eb0341aca,object/map_object/ob_1000_0092_l2.ice,,object/map_object/ob_1000_0092_l3.ice,,object/map_object/ob_1000_0092_l4.ice,,object/map_object/ob_1000_0092_col.ice,e5\fc93fa952f6e8e421f410b8483b041,object/map_object/ob_1000_0092_com.ice,a5\d517c02191e7aa2a687448677644e6,object/map_object/ob_1000_0092_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ツキ・ミー,Lunar Diorama,ob_1000_0093,object/map_object/ob_1000_0093_l1.ice,da\7ee72b12dd8a57106e2002765a5680,object/map_object/ob_1000_0093_l2.ice,,object/map_object/ob_1000_0093_l3.ice,,object/map_object/ob_1000_0093_l4.ice,,object/map_object/ob_1000_0093_col.ice,b3\4280bc7f3e80ef23058e72ca5769d3,object/map_object/ob_1000_0093_com.ice,6e\aca38cfd2a3a8ee345b49579db3c96,object/map_object/ob_1000_0093_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ジャックランタン,Jack-o'-Lantern,ob_1000_0094,object/map_object/ob_1000_0094_l1.ice,85\6832a3f9a276d23f09fdb5b18afc47,object/map_object/ob_1000_0094_l2.ice,,object/map_object/ob_1000_0094_l3.ice,,object/map_object/ob_1000_0094_l4.ice,,object/map_object/ob_1000_0094_col.ice,fe\8759e6aa4b5337a64836cfc8eec773,object/map_object/ob_1000_0094_com.ice,16\2e727f28db3922ce0ae1cc6b7dda75,object/map_object/ob_1000_0094_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
モミジー,Autumn Leaves,ob_1000_0095,object/map_object/ob_1000_0095_l1.ice,4a\f58e2d74d45afbda01e8596f5d2b73,object/map_object/ob_1000_0095_l2.ice,,object/map_object/ob_1000_0095_l3.ice,,object/map_object/ob_1000_0095_l4.ice,,object/map_object/ob_1000_0095_col.ice,3a\22240ae0b8a2247589249ce410e860,object/map_object/ob_1000_0095_com.ice,01\2bc1c7cfd5b3c27d0b41cc33b36cd8,object/map_object/ob_1000_0095_eff.ice,,[Nature],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ホリデーギフト,Holiday Gift,ob_1000_0096,object/map_object/ob_1000_0096_l1.ice,08\2e307f85f07152ec1c464c0e900153,object/map_object/ob_1000_0096_l2.ice,,object/map_object/ob_1000_0096_l3.ice,,object/map_object/ob_1000_0096_l4.ice,,object/map_object/ob_1000_0096_col.ice,1b\0e58afad6005abbc637a851f0da186,object/map_object/ob_1000_0096_com.ice,89\0ce7f628691f8a069569dc4579b2fb,object/map_object/ob_1000_0096_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
鉱石標本,Mineral Samples,ob_1000_0103,object/map_object/ob_1000_0103_l1.ice,5d\4e6732f09cab2103a774e0dc40fc0a,object/map_object/ob_1000_0103_l2.ice,,object/map_object/ob_1000_0103_l3.ice,,object/map_object/ob_1000_0103_l4.ice,,object/map_object/ob_1000_0103_col.ice,bd\3cee620d9c56f4ad351e459cd35f73,object/map_object/ob_1000_0103_com.ice,14\391fbd2ae35e13668a9da5fa9bd8a1,object/map_object/ob_1000_0103_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ジュークボックス,Jukebox,ob_1000_0104,object/map_object/ob_1000_0104_l1.ice,88\ac5afc3e99b6edcc38f8662d822d2d,object/map_object/ob_1000_0104_l2.ice,,object/map_object/ob_1000_0104_l3.ice,,object/map_object/ob_1000_0104_l4.ice,,object/map_object/ob_1000_0104_col.ice,8c\4e86bb4ef81d510b015fefc2eb77af,object/map_object/ob_1000_0104_com.ice,e1\283d47eba65808e8225fcecf786dd9,object/map_object/ob_1000_0104_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
