Data is laid out as follows:
Object Name JP (if known),Object Name EN (if known),Object Function,Animation type,category 1,category 2,object unhashed name,object hashed name,object _ex textures hashed name
ラッピープラトゥ,Rappy Platter,none,motion_none,ground,deco,object/map_object/ob_1000_0017.ice,f2b092b6065a99debecc2164701f9304,aa6998bb95ea5b6a83b0a42ab37ba92c
モダンベッド,Modern Bed,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0018.ice,7be99a2c3d1467d0292ce21f6ebefbfe,153dd3b8e3c38f2b10c50c0969ae2157
クラシックベッド,Classic Bed,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0019.ice,0adcb7617a6d0ad2492b46d966ba23c0,83ea2831feae991a526680a4c759cfe2
ゴシックベッド,Gothic Bed,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0020.ice,ff8acb747144cbaca506741a2fb1bd5d,641a57f87e21c121195885369a5304cf
フトン,Futon,motion,motion_sleeping,ground,ground,object/map_object/ob_1000_0021.ice,ec034285f08e499a8e1790cc9e5420b3,2f037cb4b2ef1e75c1bd19c528149aa2
エレガントバスタブ,Elegant Bathtub,motion,motion_bathe,ground,ground,object/map_object/ob_1000_0023.ice,f95742d44adefc0712f07ee9f1714089,715be3c5688a58675a15d41648a91d6c
,,motion,motion_toilet,ground,ground,object/map_object/ob_1000_0024.ice,945d0bfd68d13d2f77b3b5a3095b2054,d6cc2ed85973b424b84a446d88ded75c
,,none,motion_none,ground,ground,object/map_object/ob_1000_0026.ice,8313de8637e9524b09cf1aaf44d19bfa,1ef902f6f4552c4be89e96e842b1d4a8
,,fatscale,motion_none,ground,ground,object/map_object/ob_1000_0027.ice,ff55daf4565724ac032289e86666c909,1882994f8ef94aed97b36373fecd6f38
,,none,motion_none,ground,deco,object/map_object/ob_1000_0028.ice,6991f645a0bc614a13f8607c9734f42d,f94f91d27c8e76996765a55dc13e4cdb
ワノシーリングライト,Japanese Pendant Light,none,motion_none,ceiling,ground,object/map_object/ob_1000_0030.ice,6e5c89136f7233d3f25b661be6330529,0c4438998b61b78de3c4e494fda21a0d
モダンシャンデリア,Modern Chandelier,none,motion_none,ceiling,ground,object/map_object/ob_1000_0031.ice,e12a073b4c9963c449cf6994cae2b46d,9835ec64939237e1a2a710e44556be72
クラシックシャンデリア,Classic Chandelier,none,motion_none,ceiling,ground,object/map_object/ob_1000_0032.ice,2487601c2de8c79db121e0c4ca9b15c5,671be81a6a9dd84e6b60dd97ecb6bda0
ゴシックシャンデリア,Gothic Chandelier,none,motion_none,ceiling,ground,object/map_object/ob_1000_0033.ice,d2e01b5306ece5ef2a8e6b72ef91089e,8378847536dd0eb0ccd13f40ed68554b
,,black_board,motion_none,wall,ground,object/map_object/ob_1000_0034.ice,b66e8add2a826e992a135fac150ec02f,2425a3a4b898d7202f40f8ef26aa40c2
ロッカー,Locker,none,motion_none,wall,ground,object/map_object/ob_1000_0035.ice,d8f2c97e0388fb1c1535f6faa0268141,3eb158abe751af9fc97aadba7dd2ae9c
,,jukebox,motion_none,ground,ground,object/map_object/ob_1000_0037.ice,4aa1ade09dc9b3c312e3d3cebb0de524,f156bbd78bc3551b5bf4c37535fe22f1
プライベートプール,Private Pool,none,motion_none,ground,ground,object/map_object/ob_1000_0038.ice,996511b0e6a9592ae019a5cd70b5d975,d7b0ada339ec376ef93a51fe389ea2a8
シーベイジングセット,Sunbathing Set,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0039.ice,8626ec7be9403d4f3018beece1eb0489,718a3f5aaaf4afd1a5144283f6549aec
,,motion,motion_darts,ground,ground,object/map_object/ob_1000_0044.ice,3e2203af7420dbe341705a6809210c82,ca22c8dcf4162880e3285ec148190e46
オリジナルトレイン,Original Train,none,motion_none,ground,ground,object/map_object/ob_1000_0050.ice,40257623a0f3b3e43df69ec5ade9f7e2,29f702210795793480fe4030ab37027b
グランドピアノ,Grand Piano,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0052.ice,a811ecfe45647c8fc4b23cd71acc1e69
リズムギター,Rhythm Guitar,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0053.ice,cdf4761206a2bfbc91af591b3dd8416c,c3e34608a85f4c9d30c530eda0864e84
サイドギター,Rock Guitar,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0054.ice,19697a3cfa0bd6326c229364f31b6ab8,fa3f9312e0a9b2c9e019f4bb9e749ac8
ベース,Bass,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0055.ice,4e2a44b70e38bb8c3d759b0ace23c9fa,691302b71f3de654393c9935b98ef0cf
ドラムセット,Drum Set,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0056.ice,c436a2e44cec7d9318d732a42def5dd6,7d2eaacc4b2ced2fdaf38fe2affda7f9
ヴォーカルマイク,Vocal Mic,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0057.ice,7a7ff0f79dbb6e5dc6eaa5f8cfbcedb0,88f3c865057ecb428c3e2ad539289813
ヴァイオリン,Violin,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0058.ice,cca20cb77a00b4bb933a4d01aa6ad145,00605f406a4695133d8ed04fb696807b
コントラバス,Double Bass,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0059.ice,61c47dec5e11de44de4fff8e2ef08fdd,ce46ca4a26008af7c2aa20bc4d3c2282
フルート,Flute,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0060.ice,2c7b79ba56ace4a6d1fa3deacdee7caa,ff5bdb2872589a7e526189db266938f1
トランペット,Trumpet,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0061.ice,08eab87df6a2a8958b2d3a4ebf1e1a68,a2f0f44755ca9f9370f88667ccba8c48
ティンパニ,Timpani,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0062.ice,f3f36455e4b2525fd9cc72be67362551,395f50c34bca6553960b18dfc13967c6
トライアングル,Triangle,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0063.ice,44c71b3ef6cdb057ada4d5da0cd7b3bd,d7b429c83b75f32f7036807f210c6639
指揮台,Conductor's Podium,motion,motion_instrument,ground,ground,object/map_object/ob_1000_0064.ice,ba7ef6e15914d8eb8a72f9f458fb2a21,00d83945654327824d592834b8fc1c0f
,,good_job,motion_none,ground,ground,object/map_object/ob_1000_0068.ice,63ea486f22e6405c285f5d5983dc7343,9ccccb579433f530b53eb4fb757c3df2
,,disp_weapon,motion_none,ground,ground,object/map_object/ob_1000_0070.ice,89bd8f81f1a8aef2fc32b670f59166d9,db1d3fe76a6a9140b01d9e17552e36da
ウォールシェルフ,Wall Shelf,custmize,motion_none,wall,ground,object/map_object/ob_1000_0074.ice,6094ec4822a0a0634f3d09caac3bc40e,92d76e819956a00dda7216c916fe4a32
,,custmize,motion_none,ground,ground,object/map_object/ob_1000_0075.ice,696de6fd6193c5626cfcdc8b113cc406,8df2bde8fe7b55f4d65f736b41345ce9
,,sa_projector,motion_none,ground,ground,object/map_object/ob_1000_0076.ice,900e144b92ade2bd79e4a41c2aeaff83,3eba9dbc5c56c0c2b3063211a673b776
ミニガーデン,Miniature Garden,none,motion_none,ground,ground,object/map_object/ob_1000_0077.ice,ea9bbdc3eb1843ec999de8d63aa0fd03,95d5a8fb0324b2244e9a9fd7bec73f1b
,,motion_and_message_inout,motion_kusudama,ground,ground,object/map_object/ob_1000_0078.ice,73c48e122487c0e5051be039901d151a,627e4d022b72e6d281d9e94c387b6432
イントルーダーアラーム,Security Alarm,none,motion_none,ground,ground,object/map_object/ob_1000_0079.ice,dd7c5214fde8d8aaa0abc9893ecb1185,d5de4b7ec9a224d2413dd292cc1677e5
,,timer,motion_none,ground,ground,object/map_object/ob_1000_0080.ice,f53b2c6f74b7a59b616cf0831a948d11,97bc4f168c8bf16e05472891b89c09e6
,,strongbox,motion_none,ground,ground,object/map_object/ob_1000_0081.ice,220f5920c763659b58b87cca79c59955,64883a278e10d65eaf082d6ba35d190b
カガミモチ,Rice Cake Display,none,motion_none,ground,ground,object/map_object/ob_1000_0082.ice,29bb09b501c4eaf5c4972b0e0e95a6a1,a0a574ef7354bcbba5bb6d191deb4dab
ハートフルギフト,Heartful Gift,present_box,motion_none,ground,ground,object/map_object/ob_1000_0083.ice,e489ca667189f79fad24ddba4af2629e,c329ceca4eba15d10c2e2ad204679f6a
ピュアフルギフト,Pureful Gift,present_box,motion_none,ground,ground,object/map_object/ob_1000_0084.ice,7070109292b47cb32df6a9910da99029,383ded64287033ae7900a92dfba99988
ヒナ・ドール,Ornamental Dolls,none,motion_none,ground,ground,object/map_object/ob_1000_0085.ice,be0fc1ef8076d571930ef31f41f37ac2,41bd73560d9c4205dfe8973fe86a2f41
桜の盆栽,Cherry Blossom Bonsai,none,motion_none,ground,deco,object/map_object/ob_1000_0086.ice,6be1015146d863832faed45f55f4f66c,93b1d95ea26fa8a808ce0f3434e69be4
イースターエッグオブジェ,Easter Egg Object,none,motion_none,ground,ground,object/map_object/ob_1000_0087.ice,4548ffd112888d66b9de37188445ce0c,8259fdfefcccdc75c3197855df2655bd
フライングカープ,Carp Streamers,none,motion_none,ground,ground,object/map_object/ob_1000_0088.ice,ece9b7829e5740720adc7151ff2eced8,d534fa15cf8dc7f8bef3042c94a53bbd
テルテル・ラッピー,Rainy Day Rappy,none,motion_none,ground,ground,object/map_object/ob_1000_0089.ice,437cc3e6d9d6eba97f96cea5e74e03b7,b1a12a0b3e660d519678d5d4afd6f788
ウエディングケーキ,Bridal Confection,none,motion_none,ground,ground,object/map_object/ob_1000_0090.ice,a1399164435ca4b8c68e7b71ee525012,eda0d9fd949d5fe562e976ca071d017c
ササ・ツリー,Bamboo Tree,none,motion_none,ground,ground,object/map_object/ob_1000_0091.ice,96c1e4065f108575f2ce043f61b3f224,584206075a7c22dcfa984ed82a9b93cd
ハナ・ビー,Fireworks Diorama,none,motion_none,ground,ground,object/map_object/ob_1000_0092.ice,a129b537e873ee520b293905338d7d37,71e84948f1cb477fa7af7713e547dac9
ツキ・ミー,Lunar Diorama,none,motion_none,ground,ground,object/map_object/ob_1000_0093.ice,a53ae4ff8d72f54252c03a45de528409,6a2b5b7a2e4b85e695eb6cfb94e3ab19
ジャックランタン,Jack-o'-Lantern,none,motion_none,ground,ground,object/map_object/ob_1000_0094.ice,55ad0e00e27df06c6a8510d102ae2f7e,8105c6d58938ffb0154cb95e70888d73
モミジー,Autumn Leaves,none,motion_none,ground,deco,object/map_object/ob_1000_0095.ice,082f4178d5a6aab3bd2ee104ca6ee399,ec7649bb36477057a9132a6e18136a36
ホリデーギフト,Holiday Gift,none,motion_none,ground,ground,object/map_object/ob_1000_0096.ice,dca20533e22e3130fc9f9729bd0dcb1a,11447063d090967e59ddfad9ed060162
,,none,motion_none,ground,deco,object/map_object/ob_1000_0097.ice,0744a20e4c494a7f459df3348d3af7ad,44cd8e2a0617ce24209be429e46a166e
,,none,motion_none,ground,deco,object/map_object/ob_1000_0098.ice,567172f91f5b3d89540bea0306db37e9,7cb18f9ccdefe13f561e389723580d9c
,,none,motion_none,ground,deco,object/map_object/ob_1000_0099.ice,f88c3fd86b9ac927366af13c0b610556,fd7737bb37a4732a71352f980eb66f68
,,none,motion_none,ground,deco,object/map_object/ob_1000_0100.ice,2f053a56fa0f02b570144435cc400266,040d6c7b811e2692a8569fbf3a2d2e14
,,none,motion_none,ground,deco,object/map_object/ob_1000_0101.ice,0e1a4a62eea43584f5a1a9f4a494b85d,c4cac09808a02e56175abd69b71ae45c
,,none,motion_none,ground,deco,object/map_object/ob_1000_0102.ice,895e445549a58205b5d65ba85272ba07,74bc2f75c43a054f4d2a5645c057a082
鉱石標本,Mineral Samples,none,motion_none,wall,ground,object/map_object/ob_1000_0103.ice,05bc5a0127e2634eccb390531eab352c,6664d3e6ca413de13b0e375b41c672a6
ジュークボックス,Jukebox,jukebox,motion_none,ground,ground,object/map_object/ob_1000_0104.ice,09602450805bc7bdbc2de203991ef3dc,d52173bfc1f2272cf10b4c9a703ce884
,,none,motion_none,ground,deco,object/map_object/ob_1000_0105.ice,c8813595cbea4ce4bbab1b6c33945550,f6950ad7b046991e6fb31fb6f1d3d16c
ソニック,Sonic,none,motion_none,ground,ground,object/map_object/ob_1000_0106.ice,5bb19f07b1eb62437415b8b1225152c9,4afa0e43e81c2f9f62f2f1928111294f
ナックルズ,Knuckles,none,motion_none,ground,ground,object/map_object/ob_1000_0107.ice,d3b33e85d09eccbde5032771083148ea,05e94873f2758ffe6ccbfeae556524e7
テイルス,Tails,none,motion_none,ground,ground,object/map_object/ob_1000_0108.ice,3d7e8e9136d94a1b25111fc0f00a9ad9,69a45d57d0dc2ae89f69c8a5fad547c0
エミー,Amy,none,motion_none,ground,ground,object/map_object/ob_1000_0109.ice,e85b9eff6271cf3f7ae2c71dff70cad9,61c08d2b3a4bc8d2da418e77fccfc959
,,none,motion_none,ground,ground,object/map_object/ob_1000_0110.ice,653273d23bec7f59792b0cbe371644ee,97d0fae784cd0c06b7688b5537e95611
,,motion,motion_switch_on,ground,ground,object/map_object/ob_1000_0111.ice,edc568de35a88ac94808ac6b8fbb5d11,0be6ecdad6c29128d65a6eada9970e1e
,,none,motion_none,ground,ground,object/map_object/ob_1000_0112.ice,3c8a3ab75287c72078ec09cbd67f6256,b97b8907d40a486ebb8ea5aaa1c4f58d
,,none,motion_none,ground,ground,object/map_object/ob_1000_0113.ice,e1b0499a5e914b457a0787b4b1226593,e4f5f3474113dd0ff32fff31561b5c2b
サボテチェア,Cactus Chair,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0114.ice,dd8cf76e034973f63b02058a03443aaa,69085ae24e2d2bd21fc7b5737fd3ed72
,,chat,motion_none,ground,ground,object/map_object/ob_1000_0115.ice,37a6ddecbbac542a24c9ed5a1bc72442,5bd0c6cf2023492ebfc563ab6b70ad48
セガ・マークⅢ,SEGA MARKIII,none,motion_none,ground,deco,object/map_object/ob_1000_0116.ice,de2df9e3cb5f2a0b8d566a64936a0ebe,75d12b8189824c5a5fdbb0bb59dc54ac
マスターシステム,SEGA MASTER SYSTEM,none,motion_none,ground,deco,object/map_object/ob_1000_0117.ice,e1515a66ea8988a769638bd88f6e6e4c,6c36e6ef0b8a6ca041dde2f9088968d9
メガドライブ,MEGA DRIVE,none,motion_none,ground,deco,object/map_object/ob_1000_0118.ice,0749560b8126d383cdeafea0dd8c1e8a,f41580f515f597404b787bf238cd32d1
セガサターン,SEGA SATURN,none,motion_none,ground,deco,object/map_object/ob_1000_0119.ice,661853c268e7c24346cf84dbe65fa393,f4eee56473a936f443a908f7ce5fbb22
,,none,motion_none,ground,deco,object/map_object/ob_1000_0120.ice,47d7702edd5fa98af9eee2c3a380c1b8,27b19e32fdfd08093a42f65a7ce12f4f
ダンボウル,Cardboard Box,present_box,motion_none,ground,ground,object/map_object/ob_1000_0121.ice,abbb67dbddc72552c2871d401b991308,5ca65edaa5d4b1069659db9bc45a97bb
コタツ,Heated Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0122.ice,98a382e11f46798bd1a3522125c3db37,28493027396ae1335c7e5903534b70b7
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0123.ice,204db0dc8cb3bcde87abe449fd16bd4f,24bc41eda8ac31dc202054b858b00d77
チャブ・ダイ,Tea Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0124.ice,eb06c47644d23d9cb00ff183fe99185a,f05ffafe6e64d6d145a12f4bc3b6c330
銭湯の洗い場,Public Bath Wash Station,custmize,motion_none,ground,ground,object/map_object/ob_1000_0125.ice,ddc70412b42ad5886dd364e8783baf28,0e040c1b0cb196eb7404412ac492da85
銭湯の浴槽,Public Bath Tub,none,motion_none,ground,ground,object/map_object/ob_1000_0126.ice,3aba4b4283ad0b6de0689e9ade1af5ce,ead7d626b4d87b3a875656efed2109e9
フォトガチャン,Photon Capsule Machine,photogachan,motion_none,ground,ground,object/map_object/ob_1000_0127.ice,7eea25bf754ac9e7475c2e495a9c2f80,022af8ae5e03d7659907af004ae1e48c
ヨーガマット,Yoga Mat,motion,motion_yoga,ground,ground,object/map_object/ob_1000_0128.ice,18cb28ce5a30ce88de7e99d205a7e674,90c0774aec3a6afeac0398dd0b5049ea
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0129.ice,2ad34616b7be413be8745d458a0a0328,f9da514f12cc909ce4e42a45d2217c85
ストライプチェア,Striped Chair,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0130.ice,d2ac6b4ee36fd31bf2b9bbd7dcfc4cf7,0fe99c1e19d7ac29036d15a338f3e62d
キノコチェア,Mushroom Chair,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0131.ice,9070d6fb5bb46477f69eb6a2676fdb4a,4e4f8a5082bbd349359624ca94155bb8
キノコテーブル,Mushroom Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0132.ice,242b10eba48066620d431fe3f609aa88,ce594417ac59be514e9734cd5ad115bb
ファウンテン,Fountain,none,motion_none,ground,ground,object/map_object/ob_1000_0133.ice,245a6daf480684bbc6730a2a1f9418d5,b68f11453f14d6499e972ad4fded4d8b
スイートチェア,Sweet Chair,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0134.ice,bd29c879ea947e87915b9956f8aa6a49,3fe6867e755515f9f5962b47e81ee149
キングスチェア,Royal Throne,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0135.ice,8df96329edeccf00717e8c5026f95d97,283dd16a97cd39dc7a54f4dbafeb11a4
トレジャーボックス,Treasure Chest,none,motion_none,ground,ground,object/map_object/ob_1000_0136.ice,ea1a1f75a03ec14495eb2033c8a6cc8b,0fbfb6bcad57cdebbd0212569ac4d27f
,,none,motion_none,ground,ground,object/map_object/ob_1000_0137.ice,26c71f1c389f8788b14de81c7c5db347,9b95ee35bfd95db49a7edca28edcbd13
スイートテーブル,Sweet Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0138.ice,53d9d0a18c524f0817ccca3f304c2acb,dfca43ac01b3e32debb7ed1889b69d96
クラシックキャビネット,Classic Cabinet,custmize,motion_none,ground,ground,object/map_object/ob_1000_0139.ice,8f5f6ef740a9cca33e9ea43e88466fb8,edf05972702df48b3ec40d8cc2b86ed0
ゴシックキャビネット,Gothic Cabinet,custmize,motion_none,ground,ground,object/map_object/ob_1000_0140.ice,e3e72df5af8252c087f60a1ea0b2188c,367c9ee68a880a92583457360a04b70d
クラシックチェア,Classic Chair,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0141.ice,3e920f4458b296fe41b289d7116569b5,0c961d03a0eac5d14e5ea053c563a2e6
ゴシックチェアC,Gothic Chair C,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0142.ice,0083fc758934f5fb297772781f309d6e,c943fdc2d9eb28aa0dcff3abc1757e1e
クラシックテーブル,Classic Table,custmize,motion_none,ground,ground,object/map_object/ob_1000_0143.ice,0e7d2c960c22d4505baff979cfee83cb,75a89ead57fa9a451d592dface3eade4
ゴシックテーブルB,Gothic Table B,custmize,motion_none,ground,ground,object/map_object/ob_1000_0144.ice,a774b755939480ef2f0019ac9b97eabd,70ef2fb9e80a7443d4ae6a87e04ab533
ラディアンピラー,Decorative Column,none,motion_none,ground,ground,object/map_object/ob_1000_0145.ice,06439f2e5e93c09ab904746fa10727c2,68742c52a65d7368f054dc5f4b9e88f3
,,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0146.ice,74279635da6fe2ed6485d5bc68226e00,ebf96af5b85e80f25eeebf30fcb5ef2f
クラシックドレッサー,Classic Dresser,custmize,motion_none,ground,ground,object/map_object/ob_1000_0147.ice,8212671b75826dc5fef986c6092ad2e1,a2dd7f9db3723c66219a553154ebf157
ゴシックドレッサー,Gothic Dresser,custmize,motion_none,ground,ground,object/map_object/ob_1000_0148.ice,f53d8158afd4c19f46d16bbd2d95034d,9d4a45f4df008bca7ad1a400cb8978ff
ミニモダンシェルフ,Modern Mini Shelf,custmize,motion_none,ground,ground,object/map_object/ob_1000_0149.ice,800e5365d18a61489fe076cc56eea2aa,2920d66cdf34dc72950f115e7307ebe3
ワノシェルフ,Japanese Shelf,custmize,motion_none,ground,ground,object/map_object/ob_1000_0150.ice,cfcce871307756d4c3077ec2ba625128,4b75866e70c02a973462cc5b4d77c3c2
パフェシェルフ,Parfait Shelf,custmize,motion_none,ground,ground,object/map_object/ob_1000_0151.ice,b17245728b0b6e8c00a4f18c63c1f52b,09c9a63680514a02879be5dad4e0b5cd
ベンチ,Bench,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0152.ice,efffab074bb675d61873e3c486ff39d6,abfd262de7681c6d4b974854f03e5558
,,none,motion_none,ground,ground,object/map_object/ob_1000_0153.ice,e843a2d88ed6cbdef3b67f4e31f1afc0,bc2987aa7dceb7142da07dc9e5a48461
クリスタルスカル,Crystal Skull,none,motion_none,ground,deco,object/map_object/ob_1000_0154.ice,08ac9415a04bc96026cb8d8c1ed89229,aa2e426e5c17a045848e2223d97a550b
,,timer,motion_none,ground,ground,object/map_object/ob_1000_0155.ice,f3e3600949675919dde7a6987390ee9e,48c3be5a588f1404f2a42f8e6c18cf17
,,motion,motion_paku,wall,ground,object/map_object/ob_1000_0156.ice,ffea36dd047fd63c5aecd56dc8e66c18,997361999225b72f962a37f9e06f28fb
,,none,motion_none,ground,ground,object/map_object/ob_1000_0157.ice,db8b43388afcc49208d01a7ac88b5702,249812ddfabb7e79dbda654e78e94823
バーカウンター,Bar Counter,none,motion_none,ground,ground,object/map_object/ob_1000_0158.ice,1074c78b9622599f501044ecfaae8f30,bc9229773a7905f3903b76ab3311e11b
クラシックナイトスタンド,Classic Floor Lamp,none,motion_none,ground,ground,object/map_object/ob_1000_0159.ice,9596605e32431a1c14e6a01dc8aa5577,e410e19034d154d114ed3281aeb70301
ゴシックスタンドC,Gothic Floor Lamp C,none,motion_none,ground,ground,object/map_object/ob_1000_0160.ice,b5b5156c5bce9132e31bd192a27fb5b9,c0b4e7d3236a5b9d0daef158bd8e8e9a
クラシックライト,Classic Lamp,none,motion_none,ground,deco,object/map_object/ob_1000_0161.ice,b3269ebc4b378df5927f83ed584cebba,c102cb737af0a9c4384fd036bb48f0f0
ゴシックライトC,Gothic Lamp C,none,motion_none,ground,deco,object/map_object/ob_1000_0162.ice,c8f42c28c502fa53fd545a4583806d1a,8d72fe6527f9ec2b6edb3c6f6f9e6cd2
ワノスタンドライト,Japanese Floor Lamp,none,motion_none,ground,ground,object/map_object/ob_1000_0163.ice,a8e4158e46205312c1955f13296eeb54,63e0fd9153f5fcd00f0424e43bcbe6ff
ワノライト,Japanese Lamp,none,motion_none,ground,deco,object/map_object/ob_1000_0164.ice,493573864a9b64dfdbbb35c40944b40b,aa27345011bea8f517afe574b87b5abd
ツボ・デ・コット,Terracotta Vase,none,motion_none,ground,deco,object/map_object/ob_1000_0165.ice,dafeb8d62244f28e8c96c82b96bc463c,b2f49d8babfb792c5437e212da08802d
,,motion,motion_use,ground,ground,object/map_object/ob_1000_0166.ice,33d774663f4be572458f7419639f6d84,594e93e3b1d98df0d0357e55f9756cb4
ストレートベンチ,Straight Bench,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0167.ice,2d02999e2acb1d3ab5fe88534f5d7834,bce0d274b236cfcb64b25d91089b95d6
コーナーベンチ,Corner Bench,motion,motion_sitdown,ground,ground,object/map_object/ob_1000_0168.ice,b89c1b907b11e129ca7326405f96edfa,91abf728ff6b9f7a7b5e08a4b28b37f3
チェリーレッドテーブル,Table - Cherry,custmize,motion_none,ground,ground,object/map_object/ob_1000_0169.ice,ab3f3c32ea754f419c8c9e265a524fbc,8f62bc9dbf79792eadec4706a0c60bdb
ソルトブルーテーブル,Table - Blueberry,custmize,motion_none,ground,ground,object/map_object/ob_1000_0170.ice,def709e0dbb64c1452d0ecd875f159bd,0e2fae0b512391d15d1cb322f22c1dfa
ハーブグリーンテーブル,Table - Herb,custmize,motion_none,ground,ground,object/map_object/ob_1000_0171.ice,551ad9a9605f4aefffcc7697bfced1b1,3d067101924fda92cc295f0081c5557c
ハニーイエローテーブル,Table - Honey,custmize,motion_none,ground,ground,object/map_object/ob_1000_0172.ice,358b6e8dc2f224c86d58d85148009761,e81d9a870fb884c26340071c9b9cc07e
チェリーレッドミニデスク,Mini Desk - Cherry,custmize,motion_none,ground,ground,object/map_object/ob_1000_0173.ice,e3fc0b49574af40c9c547d87af02e247,6a614a56fec2a39888b67b17bfe34f60
ソルトブルーミニデスク,Mini Desk - Blueberry,custmize,motion_none,ground,ground,object/map_object/ob_1000_0174.ice,5128876cbc0320756b384cef223b9356,c2645dda00e47f933a2c189265c46da6
